titulo,descricao,categoria,prioridade
A porta da entrada pequeno ajuste,Preciso de ajuda. A mesa da recepção gostaria de agendar uma manutenção preventiva quando possível.,Manutenção,baixa
Meu vale-refeição instável,"Alguém pode olhar isso? Meu contracheque não chegou ainda, já passou do prazo normal.",RH,media
A internet instável,Preciso de ajuda. O sinal do wi-fi da sala de reunião está muito lenta desde essa manhã.,Rede,media
Meu computador apresentando falha,O carregador do notebook está muito lento desde ontem.,Hardware,media
Minha conta quando possível,"Por favor, verifiquem. Meu usuário gostaria de solicitar acesso a mais uma pasta compartilhada.",Acesso,baixa
O excel parou de funcionar,"O navegador trava toda vez que eu tento fechar o mês, e o prazo é 30 minutos.",Software,alta
O wi-fi com problema,"Por favor, verifiquem. A vpn está muito lenta desde essa manhã.",Rede,media
Meu computador parou de funcionar,"Por favor, verifiquem. A impressora do setor caiu no chão e agora não liga mais.",Hardware,alta
O monitor da minha mesa instável,Alguém pode olhar isso? A webcam a bateria não dura mais como antes.,Hardware,media
O nobreak não funciona,Alguém pode olhar isso? A webcam não liga de jeito nenhum e tenho uma apresentação em 2 horas.,Hardware,alta
A porta da entrada sugestão,Preciso de ajuda. O ar-condicionado da sala poderia dar uma olhada quando tiver uma folga na agenda.,Manutenção,baixa
A cadeira da minha estação com problema,"A torneira da copa não está funcionando direito, fica ligando e desligando sozinho.",Manutenção,media
O programa de emissão de nota fiscal com problema,O excel de vez em quando fecha sozinho sem aviso.,Software,media
Minhas férias instável,Preciso de ajuda. Meu contracheque está com um valor errado esse mês.,RH,media
O sinal do wi-fi da sala de reunião com problema,A vpn a VPN desconecta sozinha a cada meia hora.,Rede,media
O nobreak instável,Meu notebook às vezes trava e precisa reiniciar.,Hardware,media
A lâmpada da minha mesa instável,"Preciso de ajuda. A mesa da recepção está com um problema que atrapalha, mas ainda dá pra usar.",Manutenção,media
O teams instável,O programa de emissão de nota fiscal está demorando muito mais que o normal para carregar.,Software,media
Minha senha não funciona,"Meu e-mail corporativo não consigo entrar de jeito nenhum, já tentei recuperar a senha três vezes.",Acesso,alta
O nobreak sugestão,Alguém pode olhar isso? A impressora do setor gostaria de um mouse sem fio para substituir o com fio.,Hardware,baixa
O wi-fi sugestão,"A internet está um pouco instável, mas ainda dá para trabalhar.",Rede,baixa
O teclado urgente,Alguém pode olhar isso? O headset quebrou completamente e não consigo trabalhar.,Hardware,alta
O sinal do wi-fi da sala de reunião urgente,O wi-fi caiu completamente e ninguém do setor consegue trabalhar.,Rede,alta
A lâmpada da minha mesa parou de funcionar,O ar-condicionado da sala de reuniões está com vazamento e alagando o corredor.,Manutenção,alta
O teclado quando possível,"Por favor, verifiquem. A estação de trabalho está com um risco na tela, só estética mesmo.",Hardware,baixa
Meu usuário instável,"Preciso de ajuda. Meu usuário está pedindo verificação toda vez que eu entro, é meio chato.",Acesso,media
A vpn urgente,"A vpn não conecta de jeito nenhum, preciso urgente para uma reunião em hoje à tarde.",Rede,alta
Meu acesso ao servidor instável,Minha conta esqueci a senha e preciso resetar.,Acesso,media
A porta da entrada instável,"Alguém pode olhar isso? O ar-condicionado da sala não está funcionando direito, fica ligando e desligando sozinho.",Manutenção,media
Minha senha com problema,"Por favor, verifiquem. Minha senha está pedindo verificação toda vez que eu entro, é meio chato.",Acesso,media
O nobreak com problema,O nobreak está esquentando muito mais que o normal.,Hardware,media
Meu crachá de acesso quando possível,"Alguém pode olhar isso? Meu e-mail corporativo queria trocar minha senha por segurança, sem urgência.",Acesso,baixa
Meu notebook não funciona,O teclado quebrou completamente e não consigo trabalhar.,Hardware,alta
Minha senha urgente,"Por favor, verifiquem. Meu usuário foi bloqueado e preciso urgente para uma entrega em 1 hora.",Acesso,alta
A cadeira da minha estação urgente,"Preciso de ajuda. O vaso sanitário do banheiro quebrou completamente e está causando risco, preciso urgente.",Manutenção,alta
O sinal do wi-fi da sala de reunião não funciona,Alguém pode olhar isso? A rede cabeada está impedindo o acesso ao sistema financeiro para todo o time.,Rede,alta
Meu computador pequeno ajuste,"A impressora do setor fez um barulho diferente hoje de manhã, mas continua funcionando.",Hardware,baixa
Meu atestado não funciona,"Por favor, verifiquem. Minhas férias preciso da segunda via urgente para amanhã de manhã.",RH,alta
O outlook apresentando falha,"Por favor, verifiquem. O excel de vez em quando fecha sozinho sem aviso.",Software,media
Meu contracheque pequeno ajuste,Minhas férias gostaria de agendar minhas férias para o próximo trimestre.,RH,baixa
Meu atestado não funciona,"Por favor, verifiquem. Meu vale-transporte não recebi o pagamento desse mês e preciso resolver hoje.",RH,alta
A rede do terceiro andar com problema,"A vpn está caindo o dia todo, de tempos em tempos.",Rede,media
A porta da entrada apresentando falha,"A porta da entrada está com um problema que atrapalha, mas ainda dá pra usar.",Manutenção,media
O headset quando possível,Alguém pode olhar isso? O nobreak queria trocar por um modelo mais novo quando possível.,Hardware,baixa
A mesa da recepção sugestão,"O elevador está com um pequeno desgaste, nada urgente.",Manutenção,baixa
O sistema financeiro urgente,"O navegador trava toda vez que eu tento fechar o mês, e o prazo é 1 hora.",Software,alta
Meu vale-refeição pequeno ajuste,Meu contracheque gostaria de agendar minhas férias para o próximo trimestre.,RH,baixa
O headset quando possível,"Preciso de ajuda. A impressora do setor fez um barulho diferente hoje de manhã, mas continua funcionando.",Hardware,baixa
O ar-condicionado da sala urgente,"A porta da entrada quebrou completamente e está causando risco, preciso urgente.",Manutenção,alta
Meu usuário instável,"Minha conta está pedindo verificação toda vez que eu entro, é meio chato.",Acesso,media
Meu atestado com problema,"Por favor, verifiquem. Meu atestado preciso entender uma cobrança que apareceu.",RH,media
O carregador do notebook com problema,Preciso de ajuda. Meu notebook está muito lento desde ontem.,Hardware,media
A conexão do escritório apresentando falha,Preciso de ajuda. O sinal do wi-fi da sala de reunião a VPN desconecta sozinha a cada meia hora.,Rede,media
O erp urgente,O sistema de ponto trava a tela toda vez que abro o relatório.,Software,alta
O navegador sugestão,"Por favor, verifiquem. O sistema interno tem um botão que não faz nada, acho que é um bug pequeno.",Software,baixa
O sistema de ponto com problema,O excel de vez em quando fecha sozinho sem aviso.,Software,media
Meu acesso ao sistema quando possível,"Meu usuário queria trocar minha senha por segurança, sem urgência.",Acesso,baixa
Meu vale-transporte quando possível,Meu holerite gostaria de agendar minhas férias para o próximo trimestre.,RH,baixa
Meu atestado apresentando falha,"Meu contracheque não chegou ainda, já passou do prazo normal.",RH,media
Meu acesso ao sistema apresentando falha,Meu login não consigo acessar uma pasta específica que preciso.,Acesso,media
A conexão do escritório com problema,O sinal do wi-fi da sala de reunião está muito lenta desde essa manhã.,Rede,media
Meu contracheque instável,"Por favor, verifiquem. Meu atestado preciso entender uma cobrança que apareceu.",RH,media
Meu plano de saúde parou de funcionar,"Por favor, verifiquem. Meu atestado preciso da segunda via urgente para hoje à tarde.",RH,alta
O elevador apresentando falha,"A lâmpada da minha mesa está com um problema que atrapalha, mas ainda dá pra usar.",Manutenção,media
Minha senha apresentando falha,"Meu e-mail corporativo está pedindo verificação toda vez que eu entro, é meio chato.",Acesso,media
O sistema de ponto quando possível,Preciso de ajuda. O navegador queria sugerir uma melhoria na tela inicial.,Software,baixa
Meu vale-refeição com problema,Meu vale-transporte está com um valor errado esse mês.,RH,media
A vpn sugestão,"A vpn está um pouco instável, mas ainda dá para trabalhar.",Rede,baixa
O wi-fi não funciona,Alguém pode olhar isso? A rede cabeada caiu completamente e ninguém do setor consegue trabalhar.,Rede,alta
Minhas férias sugestão,Meu contracheque gostaria de agendar minhas férias para o próximo trimestre.,RH,baixa
A rede interna não funciona,"A rede cabeada não conecta de jeito nenhum, preciso urgente para uma reunião em amanhã de manhã.",Rede,alta
Meu contracheque não funciona,Meu holerite meu plano de saúde foi cancelado sem explicação e tenho consulta em amanhã de manhã.,RH,alta
O sinal do wi-fi da sala de reunião instável,Preciso de ajuda. A rede interna a VPN desconecta sozinha a cada meia hora.,Rede,media
A cadeira da minha estação instável,"A lâmpada da minha mesa não está funcionando direito, fica ligando e desligando sozinho.",Manutenção,media
Meu holerite não funciona,Meu benefício meu plano de saúde foi cancelado sem explicação e tenho consulta em 1 hora.,RH,alta
A rede do terceiro andar urgente,Alguém pode olhar isso? O wi-fi está fora do ar há mais de uma hora.,Rede,alta
Meu crachá de acesso instável,Meu crachá de acesso não consigo acessar uma pasta específica que preciso.,Acesso,media
Meu e-mail corporativo quando possível,Alguém pode olhar isso? Meu login gostaria de solicitar acesso a mais uma pasta compartilhada.,Acesso,baixa
O headset apresentando falha,"Por favor, verifiquem. O carregador do notebook às vezes trava e precisa reiniciar.",Hardware,media
Meu benefício parou de funcionar,Meu plano de saúde meu plano de saúde foi cancelado sem explicação e tenho consulta em amanhã de manhã.,RH,alta
O sistema financeiro com problema,O outlook apareceu uma mensagem de erro que eu não entendo.,Software,media
